ID: 38 , Time: 11:10PM Sep20 2015 , score: 660 , Depth: 3 , Access: True , Code: 200 , Size 135KB , url: http://en.wikipedia.org/wiki/Industrial_engineering
ID: 39 , Time: 11:10PM Sep20 2015 , score: 656 , Depth: 2 , Access: True , Code: 200 , Size 125KB , url: http://en.wikipedia.org/wiki/Software_development_process
ID: 40 , Time: 11:10PM Sep20 2015 , score: 644 , Depth: 0 , Access: True , Code: 200 , Size 127KB , url: http://www.indeed.com/q-Software-Engineer-jobs.html
ID: 41 , Time: 11:10PM Sep20 2015 , score: 632 , Depth: 1 , Access: True , Code: 200 , Size 288KB , url: http://en.wikipedia.org/wiki/Computer_science
ID: 42 , Time: 11:10PM Sep20 2015 , score: 612 , Depth: 1 , Access: True , Code: 200 , Size 147KB , url: http://en.wikipedia.org/wiki/Software_design
ID: 43 , Time: 11:10PM Sep20 2015 , score: 604 , Depth: 1 , Access: True , Code: 200 , Size 162KB , url: http://en.wikipedia.org/wiki/Software_maintenance
ID: 44 , Time: 11:10PM Sep20 2015 , score: 596 , Depth: 5 , Access: True , Code: 200 , Size 110KB , url: http://en.wikipedia.org/wiki/Manufacturing_engineering
ID: 45 , Time: 11:10PM Sep20 2015 , score: 596 , Depth: 3 , Access: True , Code: 200 , Size 170KB , url: http://en.wikipedia.org/wiki/Geotechnical_engineering
ID: 46 , Time: 11:10PM Sep20 2015 , score: 592 , Depth: 1 , Access: True , Code: 200 , Size 175KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/efe658a9/SQL
ID: 47 , Time: 11:10PM Sep20 2015 , score: 592 , Depth: 1 , Access: True , Code: 200 , Size 175KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/9174ff35/.NET
ID: 48 , Time: 11:10PM Sep20 2015 , score: 592 , Depth: 3 , Access: True , Code: 200 , Size 218KB , url: http://en.wikipedia.org/wiki/Telecommunications_engineering
ID: 49 , Time: 11:10PM Sep20 2015 , score: 588 , Depth: 4 , Access: True , Code: 200 , Size 123KB , url: http://en.wikipedia.org/wiki/Aerospace_engineering
ID: 50 , Time: 11:10PM Sep20 2015 , score: 584 , Depth: 1 , Access: True , Code: 200 , Size 173KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/be88b0cb/HTML
ID: 51 , Time: 11:10PM Sep20 2015 , score: 584 , Depth: 1 , Access: True , Code: 200 , Size 176KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/95c390e3/C%23
ID: 52 , Time: 11:10PM Sep20 2015 , score: 576 , Depth: 2 , Access: True , Code: 200 , Size 54KB , url: http://en.wikipedia.org/wiki/Template_talk:Software_development_process
