ID: 38 , Time: 10:19PM Sep20 2015 , score: 452 , Depth: 3 , Access: True , Code: 200 , Size 333KB , url: http://en.wikipedia.org/wiki/Computer_network
ID: 39 , Time: 10:19PM Sep20 2015 , score: 452 , Depth: 3 , Access: False , Code: 200 , Size 61KB , url: http://en.wikipedia.org/w/index.php?title=Computer_graphics&action=edit&section=3
ID: 40 , Time: 10:19PM Sep20 2015 , score: 444 , Depth: 2 , Access: True , Code: 200 , Size 160KB , url: http://en.wikipedia.org/wiki/Information_systems
ID: 41 , Time: 10:19PM Sep20 2015 , score: 444 , Depth: 2 , Access: True , Code: 200 , Size 160KB , url: http://en.wikipedia.org/wiki/Information_Systems
ID: 42 , Time: 10:19PM Sep20 2015 , score: 436 , Depth: 2 , Access: True , Code: 200 , Size 230KB , url: http://en.wikipedia.org/wiki/Materials_science
ID: 43 , Time: 10:19PM Sep20 2015 , score: 432 , Depth: 4 , Access: True , Code: 200 , Size 102KB , url: http://en.wikipedia.org/wiki/History_of_computer_hardware_in_Soviet_Bloc_countries
ID: 44 , Time: 10:19PM Sep20 2015 , score: 412 , Depth: 2 , Access: True , Code: 200 , Size 388KB , url: http://en.wikipedia.org/wiki/Carnegie_Mellon_University
ID: 45 , Time: 10:19PM Sep20 2015 , score: 408 , Depth: 4 , Access: True , Code: 200 , Size 116KB , url: http://en.wikipedia.org/wiki/History_of_software
ID: 46 , Time: 10:19PM Sep20 2015 , score: 404 , Depth: 6 , Access: True , Code: 200 , Size 188KB , url: http://en.wikipedia.org/wiki/BBC_Micro
ID: 47 , Time: 10:19PM Sep20 2015 , score: 400 , Depth: 3 , Access: False , Code: 200 , Size 60KB , url: http://en.wikipedia.org/w/index.php?title=Theoretical_computer_science&action=edit&section=2
ID: 48 , Time: 10:19PM Sep20 2015 , score: 380 , Depth: 6 , Access: True , Code: 200 , Size 251KB , url: http://en.wikipedia.org/wiki/Commodore_64
ID: 49 , Time: 10:19PM Sep20 2015 , score: 364 , Depth: 2 , Access: True , Code: 200 , Size 245KB , url: http://en.wikipedia.org/wiki/Software_engineering
ID: 50 , Time: 10:19PM Sep20 2015 , score: 364 , Depth: 2 , Access: True , Code: 200 , Size 246KB , url: http://en.wikipedia.org/wiki/Software_Engineering
ID: 51 , Time: 10:19PM Sep20 2015 , score: 364 , Depth: 4 , Access: True , Code: 200 , Size 512KB , url: http://en.wikipedia.org/wiki/History_of_the_Internet
